,first_name,last_name,pesel,address,phone_number,email,disease,place
77,Piotr,Truchan,99531762342,"Gdańsk, ul. Kartuska 61",+48 883 960 093,haponiukartur@example.net,reumatyzm,Poradania rodzinna
78,Olga,Domino,66468233520,"Gdańsk, ul. Wały Jagiellońskie 92",32 642 23 32,maurycy69@example.org,astma,NZOZ Glińskiego
79,Artur,Winek,45095967139,"Gdańsk, ul. Kartuska 11",+48 532 456 856,ida62@example.com,nowotwór,OpoMed
80,Tobiasz,Cukier,94914603575,"Gdańsk, ul. Wały Jagiellońskie 147",32 671 52 95,franciszekfiedorczuk@example.org,grypa,Poradania rodzinna
81,Anastazja,Strzoda,73113765301,"Gdańsk, ul. Kartuska 112",+48 22 485 93 06,lidianiecko@example.com,nowotwór,Poradania rodzinna
82,Wiktor,Fugiel,57941295191,"Gdańsk, ul. Wały Jagiellońskie 122",+48 536 830 401,wiktor08@example.net,cukrzyca,NZOZ Glińskiego
83,Kacper,Martyka,57000341667,"Gdańsk, ul. Wały Jagiellońskie 78",+48 665 975 056,wfurmankiewicz@example.net,reumatyzm,OpoMed
84,Agnieszka,Żabierek,30062585343,"Gdańsk, ul. Długa 58",+48 694 602 753,szoltysikrobert@example.com,nadciśnienie,NZOZ Glińskiego
85,Apolonia,Bok,19163464511,"Gdańsk, ul. Podwale Staromiejskie 84",734 354 067,bartlomiejczykmieszko@example.org,cukrzyca,Centrum Medyczne
86,Lidia,Morys,40526581323,"Gdańsk, ul. Podwale Staromiejskie 19",738 500 312,sorokoigor@example.com,zapalenie płuc,NZOZ Glińskiego
87,Aniela,Bereda,57991906050,"Gdańsk, ul. Wały Jagiellońskie 15",+48 534 140 678,dominik99@example.net,astma,Miła Przychodnia
88,Bartek,Śledzik,19270300341,"Gdańsk, ul. Kartuska 111",784 987 397,izach@example.net,nowotwór,OpoMed
89,Grzegorz,Kryszczuk,26687028122,"Gdańsk, ul. Podwale Staromiejskie 86",+48 693 761 002,hdudzicz@example.org,nowotwór,Miła Przychodnia
90,Kazimierz,Szlachcic,60473511566,"Gdańsk, ul. Kartuska 110",32 071 20 26,olaffeliniak@example.net,astma,Centrum Medyczne
91,Ernest,Frukacz,17759656612,"Gdańsk, ul. Długa 78",500 296 914,sylwialabno@example.com,nowotwór,Medovec
92,Maurycy,Leszczyk,32827082964,"Gdańsk, ul. Świętojańska 10",536 746 034,mateusz70@example.com,nadciśnienie,NZOZ Glińskiego
93,Juliusz,Klyszcz,38746153615,"Gdańsk, ul. Podwale Staromiejskie 124",665 628 649,natanieloskroba@example.com,reumatyzm,Centrum Medyczne
94,Juliusz,Fiołka,31756333617,"Gdańsk, ul. Wały Jagiellońskie 144",577 444 133,roksanagarncarek@example.org,zapalenie płuc,Centrum Medyczne
95,Lidia,Poniedziałek,28579236234,"Gdańsk, ul. Podwale Staromiejskie 83",729 410 046,malwinajedrzejek@example.org,grypa,Centrum Medyczne
96,Justyna,Wojniak,65409104414,"Gdańsk, ul. Podwale Staromiejskie 46",22 917 04 82,rporzucek@example.net,nowotwór,Medovec
97,Patryk,Gustaw,3910844298,"Gdańsk, ul. Długa 48",+48 535 197 719,tgwizdek@example.net,nadciśnienie,Miła Przychodnia
98,Nela,Brygoła,25277870185,"Gdańsk, ul. Świętojańska 56",517 270 459,adrianmalys@example.org,choroba serca,NZOZ Glińskiego
99,Józef,Kręgiel,95352232644,"Gdańsk, ul. Świętojańska 19",+48 535 152 763,juliuszkaja@example.org,nadciśnienie,Centrum Medyczne
100,Józef,Wilusz,83538342761,"Gdańsk, ul. Mariacka 118",+48 574 268 594,gustaw26@example.net,grypa,Medovec
101,Dawid,Zięciak,29551204339,"Gdańsk, ul. Podwale Staromiejskie 53",+48 517 190 571,sonia90@example.net,astma,OpoMed
102,Marcin,Gomuła,69342767543,"Gdańsk, ul. Kartuska 12",+48 535 192 578,tobiasz13@example.net,grypa,NZOZ Glińskiego
103,Kornel,Rej,84063838243,"Gdańsk, ul. Mariacka 46",789 604 273,kaczanmarek@example.org,nadciśnienie,Miła Przychodnia
104,Cezary,Szmurło,73073535761,"Gdańsk, ul. Mariacka 24",669 106 736,jerzykusyk@example.com,grypa,Centrum Medyczne
105,Radosław,Pysz,15218805835,"Gdańsk, ul. Świętojańska 138",698 743 738,hwelc@example.net,astma,Miła Przychodnia
106,Ksawery,Mikusek,77955414800,"Gdańsk, ul. Długa 52",+48 664 820 185,krystianwolos@example.org,astma,Miła Przychodnia
107,Paweł,Matulka,6831366810,"Gdańsk, ul. Świętojańska 30",32 150 08 06,sylwia74@example.com,nadciśnienie,Poradania rodzinna
108,Nikodem,Jarmużek,79304585649,"Gdańsk, ul. Kartuska 33",737 691 664,dkrochmal@example.net,nadciśnienie,OpoMed
109,Mariusz,Pietrek,4067532071,"Gdańsk, ul. Kartuska 107",+48 788 445 003,kozokkrzysztof@example.com,choroba serca,Medovec
110,Robert,Cibor,3933943758,"Gdańsk, ul. Świętojańska 36",+48 571 843 926,ybystron@example.com,reumatyzm,OpoMed
111,Bruno,Cudzich,1433378750,"Gdańsk, ul. Mariacka 35",+48 538 327 421,kajetan97@example.net,reumatyzm,NZOZ Glińskiego
112,Urszula,Szajda,36267566226,"Gdańsk, ul. Wały Jagiellońskie 20",538 992 030,buchholzfilip@example.org,nadciśnienie,Centrum Medyczne
113,Eryk,Byra,9318526596,"Gdańsk, ul. Świętojańska 28",735 131 675,wandasgabriel@example.org,grypa,Centrum Medyczne
114,Nikodem,Karol,77980755420,"Gdańsk, ul. Świętojańska 136",734 897 408,angelika80@example.com,nowotwór,OpoMed
115,Nataniel,Pachołek,47842839052,"Gdańsk, ul. Kartuska 25",+48 793 474 023,kornelia38@example.net,grypa,Poradania rodzinna
116,Alex,Rosołek,50464031101,"Gdańsk, ul. Wały Jagiellońskie 44",32 049 71 47,sharasimiuk@example.com,nowotwór,Miła Przychodnia
117,Szymon,Czubaszek,57132377378,"Gdańsk, ul. Wały Jagiellońskie 51",+48 503 833 909,oleszczakalan@example.org,zapalenie płuc,Miła Przychodnia
118,Juliusz,Smorąg,37954751869,"Gdańsk, ul. Długa 125",573 476 688,dorotakudlak@example.org,reumatyzm,NZOZ Glińskiego
119,Mieszko,Golon,79776175152,"Gdańsk, ul. Świętojańska 65",+48 793 013 535,vromanczyk@example.net,cukrzyca,Centrum Medyczne
120,Tola,Olearczyk,97922029310,"Gdańsk, ul. Kartuska 71",+48 606 311 100,eliza21@example.net,choroba serca,Miła Przychodnia
121,Kamil,Ciężka,83032073163,"Gdańsk, ul. Długa 62",734 332 547,borczykgustaw@example.org,nadciśnienie,Miła Przychodnia
122,Kornel,Kokosza,78953299014,"Gdańsk, ul. Podwale Staromiejskie 108",22 585 79 85,egrzelec@example.org,nowotwór,OpoMed
123,Aleksander,Przekop,65670419018,"Gdańsk, ul. Świętojańska 41",+48 22 694 83 00,gabrielsliz@example.com,grypa,Centrum Medyczne
124,Kaja,Grabara,48444589945,"Gdańsk, ul. Wały Jagiellońskie 35",794 125 250,fcitko@example.org,cukrzyca,Centrum Medyczne
125,Blanka,Oleksiuk,47494235836,"Gdańsk, ul. Kartuska 65",32 806 12 01,mateuszchomiuk@example.net,reumatyzm,NZOZ Glińskiego
126,Damian,Głuszko,37310196720,"Gdańsk, ul. Mariacka 41",+48 739 455 433,bartekwieczerzak@example.org,reumatyzm,OpoMed
127,Ida,Zegar,54568962334,"Gdańsk, ul. Kartuska 44",32 273 14 05,mazanekfranciszek@example.net,cukrzyca,Medovec
128,Urszula,Sołoducha,53845382790,"Gdańsk, ul. Podwale Staromiejskie 77",666 488 317,nslebioda@example.org,nadciśnienie,Centrum Medyczne
129,Tymon,Koj,77041526384,"Gdańsk, ul. Podwale Staromiejskie 51",880 458 630,mzyto@example.org,choroba serca,NZOZ Glińskiego
130,Stanisław,Olbrych,83231299439,"Gdańsk, ul. Świętojańska 133",+48 781 851 602,teperkrystian@example.org,choroba serca,Miła Przychodnia
131,Ewelina,Lamch,59161983988,"Gdańsk, ul. Mariacka 113",+48 518 283 904,oskargiers@example.net,choroba serca,Miła Przychodnia
132,Andrzej,Kopa,54470464386,"Gdańsk, ul. Mariacka 34",736 891 938,nicoleszambelan@example.com,grypa,Medovec
133,Mieszko,Kalka,86965099287,"Gdańsk, ul. Długa 81",699 008 565,rybusjulianna@example.com,cukrzyca,Centrum Medyczne
134,Róża,Mazik,85141012653,"Gdańsk, ul. Wały Jagiellońskie 121",513 370 844,akosman@example.org,zapalenie płuc,Medovec
135,Filip,Budkiewicz,98846866612,"Gdańsk, ul. Świętojańska 31",+48 32 519 05 99,jerzy76@example.net,reumatyzm,Poradania rodzinna
136,Kacper,Minkiewicz,63241293847,"Gdańsk, ul. Świętojańska 100",516 174 291,bartek59@example.net,zapalenie płuc,Miła Przychodnia
137,Tymoteusz,Nabiałek,51634202627,"Gdańsk, ul. Świętojańska 57",601 376 700,ignacyragus@example.net,zapalenie płuc,OpoMed
138,Tadeusz,Paprotny,74426386920,"Gdańsk, ul. Kartuska 102",+48 601 409 800,ocywka@example.org,grypa,Medovec
139,Mikołaj,Ważna,89371907553,"Gdańsk, ul. Wały Jagiellońskie 32",695 232 070,blankakarwala@example.com,zapalenie płuc,OpoMed
140,Aleks,Durlak,77773078475,"Gdańsk, ul. Wały Jagiellońskie 136",+48 696 550 972,kempnyjulian@example.org,reumatyzm,NZOZ Glińskiego
141,Bartek,Fleszar,46468940674,"Gdańsk, ul. Długa 65",570 696 654,filip95@example.com,astma,OpoMed
142,Karina,Irla,81606648011,"Gdańsk, ul. Mariacka 109",738 292 127,mateusiakalbert@example.org,nowotwór,Centrum Medyczne
143,Jędrzej,Świt,21121726413,"Gdańsk, ul. Długa 76",22 610 57 36,krystian34@example.com,cukrzyca,NZOZ Glińskiego
144,Kajetan,Gryga,87939666784,"Gdańsk, ul. Kartuska 6",693 577 082,ida31@example.net,reumatyzm,Medovec
145,Krystyna,Myga,73901187151,"Gdańsk, ul. Kartuska 110",533 791 666,bkopa@example.org,cukrzyca,Miła Przychodnia
146,Leonard,Nóżka,2692553238,"Gdańsk, ul. Świętojańska 43",885 842 789,kielankrzysztof@example.org,nadciśnienie,Medovec
147,Kalina,Świerkosz,52114591759,"Gdańsk, ul. Długa 41",32 092 31 12,tomaszszaruga@example.com,reumatyzm,Miła Przychodnia
148,Konrad,Wiewiórka,44778699887,"Gdańsk, ul. Wały Jagiellońskie 83",885 803 977,janina81@example.org,nadciśnienie,NZOZ Glińskiego
149,Tomasz,Ciepluch,15694312646,"Gdańsk, ul. Długa 149",532 012 995,izagrajek@example.com,astma,Centrum Medyczne
150,Marcelina,Gros,23380851410,"Gdańsk, ul. Mariacka 3",695 630 977,konstantysalwin@example.org,nowotwór,Medovec
151,Mateusz,Znojek,23470769650,"Gdańsk, ul. Podwale Staromiejskie 92",720 430 645,marcelpik@example.net,cukrzyca,Poradania rodzinna
152,Andrzej,Cegła,30883191568,"Gdańsk, ul. Wały Jagiellońskie 121",+48 22 986 23 72,roksanakubek@example.org,choroba serca,OpoMed
153,Ida,Chatys,17063776704,"Gdańsk, ul. Mariacka 139",+48 518 941 385,lmartynowicz@example.com,reumatyzm,Centrum Medyczne
154,Jeremi,Śnieg,43994239479,"Gdańsk, ul. Mariacka 130",607 910 523,rwijata@example.org,cukrzyca,Poradania rodzinna
155,Sandra,Gryga,22787476118,"Gdańsk, ul. Mariacka 95",538 764 097,justynabodziony@example.org,cukrzyca,Medovec
156,Lidia,Jakimiak,87182248158,"Gdańsk, ul. Podwale Staromiejskie 145",22 642 05 25,mikuselzbieta@example.com,astma,Medovec
157,Kacper,Gniewek,6800089759,"Gdańsk, ul. Kartuska 76",+48 789 848 310,jerzy97@example.net,grypa,Poradania rodzinna
158,Anastazja,Sass,77711551746,"Gdańsk, ul. Podwale Staromiejskie 138",723 569 983,pasztaleniecignacy@example.com,zapalenie płuc,OpoMed
159,Leonard,Matus,98686594035,"Gdańsk, ul. Podwale Staromiejskie 28",530 121 303,talajprzemyslaw@example.com,zapalenie płuc,Centrum Medyczne
160,Melania,Pociask,80734428683,"Gdańsk, ul. Wały Jagiellońskie 9",+48 730 372 557,qgumieniak@example.net,nadciśnienie,NZOZ Glińskiego
161,Iwo,Jarmuła,43966413370,"Gdańsk, ul. Wały Jagiellońskie 102",+48 537 103 935,szymon66@example.com,cukrzyca,NZOZ Glińskiego
162,Franciszek,Doroz,47148939796,"Gdańsk, ul. Mariacka 131",+48 881 626 868,jkatana@example.com,nadciśnienie,Medovec
163,Oskar,Komander,58070282346,"Gdańsk, ul. Kartuska 19",577 012 577,zmuskala@example.com,nowotwór,Medovec
164,Jerzy,Kurda,52740416254,"Gdańsk, ul. Świętojańska 95",691 385 322,latkojulita@example.com,nowotwór,Poradania rodzinna
165,Krystian,Mosiołek,92972757580,"Gdańsk, ul. Długa 135",663 477 221,mosurbianka@example.com,cukrzyca,OpoMed
166,Sylwia,Kaczmarkiewicz,79349536795,"Gdańsk, ul. Długa 16",32 782 73 49,ewindak@example.org,choroba serca,Centrum Medyczne
167,Błażej,Kwapień,38919375357,"Gdańsk, ul. Wały Jagiellońskie 108",792 862 729,mariuszdyjas@example.org,astma,Centrum Medyczne
168,Justyna,Ciećko,8310642082,"Gdańsk, ul. Wały Jagiellońskie 114",+48 783 715 154,cezary14@example.net,choroba serca,Centrum Medyczne
169,Ignacy,Smykla,15439221134,"Gdańsk, ul. Mariacka 76",22 835 91 29,anastazja76@example.org,astma,Poradania rodzinna
170,Leonard,Grzeszkowiak,78723481862,"Gdańsk, ul. Kartuska 51",668 719 144,julianna19@example.org,zapalenie płuc,Medovec
171,Filip,Jędrasiak,86872467687,"Gdańsk, ul. Wały Jagiellońskie 55",22 927 74 45,usymonowicz@example.org,astma,Medovec
172,Konrad,Naczk,71277159055,"Gdańsk, ul. Wały Jagiellońskie 18",+48 604 676 010,blazej11@example.com,nadciśnienie,Centrum Medyczne
173,Paweł,Zięcik,57385545273,"Gdańsk, ul. Wały Jagiellońskie 22",+48 539 094 856,tduras@example.net,nowotwór,Miła Przychodnia
174,Bianka,Dziugieł,15711768590,"Gdańsk, ul. Wały Jagiellońskie 101",+48 32 813 00 75,aleks09@example.net,grypa,Centrum Medyczne
175,Stefan,Wacław,20937769634,"Gdańsk, ul. Kartuska 10",+48 787 941 428,inehring@example.com,reumatyzm,NZOZ Glińskiego
176,Jędrzej,Kornak,18828827661,"Gdańsk, ul. Długa 133",+48 22 358 62 47,apolonia77@example.org,reumatyzm,Poradania rodzinna
177,Marek,Kochanowicz,17987866393,"Gdańsk, ul. Świętojańska 25",729 744 849,pawel03@example.com,choroba serca,Miła Przychodnia
178,Mieszko,Grymuza,2941554273,"Gdańsk, ul. Mariacka 137",504 309 712,podgornyiwo@example.net,grypa,Miła Przychodnia
179,Leon,Siemieniec,59775872655,"Gdańsk, ul. Wały Jagiellońskie 42",32 769 55 18,stefan32@example.com,zapalenie płuc,Medovec
180,Ada,Baranowicz,12985032792,"Gdańsk, ul. Mariacka 42",+48 884 989 685,kazimierzkliber@example.com,grypa,Medovec
181,Fryderyk,Makulec,8763047990,"Gdańsk, ul. Świętojańska 21",+48 32 076 66 33,jarkiewiczfabian@example.net,nadciśnienie,Centrum Medyczne
182,Fryderyk,Durlak,86962406470,"Gdańsk, ul. Długa 104",504 962 208,nborun@example.net,grypa,Miła Przychodnia
183,Tymon,Zastawny,49027567588,"Gdańsk, ul. Wały Jagiellońskie 54",32 479 66 13,bartek73@example.com,nowotwór,Medovec
184,Maks,Mich,97883819036,"Gdańsk, ul. Świętojańska 83",781 653 479,julianszmurlo@example.net,reumatyzm,Miła Przychodnia
185,Apolonia,Rolak,32292659611,"Gdańsk, ul. Świętojańska 63",536 440 282,tomaszczykblanka@example.net,nadciśnienie,Poradania rodzinna
186,Alan,Gonsior,73969162585,"Gdańsk, ul. Długa 91",538 014 944,gmazek@example.org,nadciśnienie,Poradania rodzinna
187,Leon,Lelito,96072676821,"Gdańsk, ul. Podwale Staromiejskie 107",+48 695 972 262,gumiennyalan@example.org,choroba serca,Centrum Medyczne
188,Jakub,Turczyk,17515806759,"Gdańsk, ul. Długa 19",+48 533 827 614,xdorynek@example.net,nowotwór,Medovec
189,Roksana,Pniak,51612325181,"Gdańsk, ul. Kartuska 56",+48 22 035 52 84,sylwiakorbel@example.net,nowotwór,Medovec
190,Oliwier,Kudra,68789060800,"Gdańsk, ul. Mariacka 58",+48 724 508 560,artur60@example.net,cukrzyca,Centrum Medyczne
191,Kornelia,Droździel,75084467521,"Gdańsk, ul. Mariacka 61",+48 32 618 07 59,dziurlanela@example.org,choroba serca,Centrum Medyczne
